ensgene,entrez,symbol,chr,start,end,strand,biotype,description
ENSG00000101307,10326,SIRPB1,20,1563521,1620061,-1,protein_coding,signal-regulatory protein beta 1 [Source:HGNC Symbol;Acc:HGNC:15928]
ENSG00000101310,10483,SEC23B,20,18507493,18561415,1,protein_coding,Sec23 homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10702]
ENSG00000101311,55612,FERMT1,20,6074845,6123544,-1,protein_coding,fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]
ENSG00000101323,54363,HAO1,20,7882981,7940474,-1,protein_coding,hydroxyacid oxidase (glycolate oxidase) 1 [Source:HGNC Symbol;Acc:HGNC:4809]
ENSG00000101327,5173,PDYN,20,1978757,1994285,-1,protein_coding,prodynorphin [Source:HGNC Symbol;Acc:HGNC:8820]
ENSG00000101331,140706,CCM2L,20,32010450,32032180,1,protein_coding,cerebral cavernous malformation 2-like [Source:HGNC Symbol;Acc:HGNC:16153]
ENSG00000101333,5332,PLCB4,20,9068763,9481242,1,protein_coding,"phospholipase C, beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]"
ENSG00000101335,10398,MYL9,20,36541484,36551447,1,protein_coding,"myosin, light chain 9, regulatory [Source:HGNC Symbol;Acc:HGNC:15754]"
ENSG00000101336,3055,HCK,20,32052188,32101856,1,protein_coding,"HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]"
ENSG00000101337,9777,TM9SF4,20,32109506,32167258,1,protein_coding,transmembrane 9 superfamily protein member 4 [Source:HGNC Symbol;Acc:HGNC:30797]
ENSG00000101342,140711,TLDC2,20,36876121,36894235,1,protein_coding,TBC/LysM-associated domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16112]
ENSG00000101343,51340,CRNKL1,20,20034368,20056046,-1,protein_coding,crooked neck pre-mRNA splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:15762]
ENSG00000101346,23509,POFUT1,20,32207880,32238667,1,protein_coding,protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]
ENSG00000101347,25939,SAMHD1,20,36890229,36951843,-1,protein_coding,SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:HGNC:15925]
ENSG00000101349,57144,PAK7,20,9537389,9839041,-1,protein_coding,p21 protein (Cdc42/Rac)-activated kinase 7 [Source:HGNC Symbol;Acc:HGNC:15916]
ENSG00000101350,9371,KIF3B,20,32277664,32335011,1,protein_coding,kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]
ENSG00000101353,140699,MROH8,20,37101226,37179588,-1,protein_coding,maestro heat-like repeat family member 8 [Source:HGNC Symbol;Acc:HGNC:16125]
ENSG00000101361,10528,NOP56,20,2652145,2658393,1,protein_coding,NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]
ENSG00000101363,63905,MANBAL,20,37289638,37317260,1,protein_coding,"mannosidase, beta A, lysosomal-like [Source:HGNC Symbol;Acc:HGNC:15799]"
ENSG00000101365,3420,IDH3B,20,2658395,2664219,-1,protein_coding,isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:HGNC:5385]
ENSG00000101367,22919,MAPRE1,20,32819893,32850405,1,protein_coding,"microtubule-associated protein, RP/EB family, member 1 [Source:HGNC Symbol;Acc:HGNC:6890]"
ENSG00000101384,182,JAG1,20,10637684,10674107,-1,protein_coding,jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
ENSG00000101391,51654,CDK5RAP1,20,33358839,33401561,-1,protein_coding,CDK5 regulatory subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15880]
ENSG00000101400,6640,SNTA1,20,33407955,33443892,-1,protein_coding,"syntrophin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:11167]"
ENSG00000101405,5020,OXT,20,3071620,3072517,1,protein_coding,oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:HGNC:8528]
ENSG00000101407,9675,TTI1,20,37983007,38033468,-1,protein_coding,TELO2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29029]
ENSG00000101412,1869,E2F1,20,33675683,33686404,-1,protein_coding,E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]
ENSG00000101413,58490,RPRD1B,20,38033546,38127780,1,protein_coding,regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:HGNC:16209]
ENSG00000101417,11264,PXMP4,20,33702754,33720319,-1,protein_coding,"peroxisomal membrane protein 4, 24kDa [Source:HGNC Symbol;Acc:HGNC:15920]"
ENSG00000101421,128866,CHMP4B,20,33811304,33854366,1,protein_coding,charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
ENSG00000101425,671,BPI,20,38260149,38337505,1,protein_coding,bactericidal/permeability-increasing protein [Source:HGNC Symbol;Acc:HGNC:1095]
ENSG00000101435,128821,CST9L,20,23564732,23568749,-1,protein_coding,cystatin 9-like [Source:HGNC Symbol;Acc:HGNC:16233]
ENSG00000101438,140679,SLC32A1,20,38724462,38729372,1,protein_coding,"solute carrier family 32 (GABA vesicular transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:11018]"
ENSG00000101439,1471,CST3,20,23626706,23638473,-1,protein_coding,cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]
ENSG00000101440,434,ASIP,20,34194569,34269344,1,protein_coding,agouti signaling protein [Source:HGNC Symbol;Acc:HGNC:745]
ENSG00000101441,1472,CST4,20,23685640,23689040,-1,protein_coding,cystatin S [Source:HGNC Symbol;Acc:HGNC:2476]
ENSG00000101442,79913,ACTR5,20,38748442,38772520,1,protein_coding,ARP5 actin-related protein 5 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:14671]
ENSG00000101443,10406,WFDC2,20,45469706,45481532,1,protein_coding,WAP four-disulfide core domain 2 [Source:HGNC Symbol;Acc:HGNC:15939]
ENSG00000101444,191,AHCY,20,34280268,34311802,-1,protein_coding,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
ENSG00000101445,26051,PPP1R16B,20,38805705,38923024,1,protein_coding,"protein phosphatase 1, regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]"
ENSG00000101446,10816,SPINT3,20,45512461,45515624,-1,protein_coding,"serine peptidase inhibitor, Kunitz type, 3 [Source:HGNC Symbol;Acc:HGNC:11248]"
ENSG00000101447,81610,FAM83D,20,38926312,38953106,1,protein_coding,"family with sequence similarity 83, member D [Source:HGNC Symbol;Acc:HGNC:16122]"
ENSG00000101448,57119,EPPIN,20,45540626,45547752,-1,protein_coding,epididymal peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:15932]
ENSG00000101452,60625,DHX35,20,38962299,39039723,1,protein_coding,DEAH (Asp-Glu-Ala-His) box polypeptide 35 [Source:HGNC Symbol;Acc:HGNC:15861]
ENSG00000101457,116092,DNTTIP1,20,45791937,45811427,1,protein_coding,"deoxynucleotidyltransferase, terminal, interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16160]"
ENSG00000101460,84557,MAP1LC3A,20,34546854,34560345,1,protein_coding,microtubule-associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
ENSG00000101463,79953,SYNDIG1,20,24469199,24666616,1,protein_coding,synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]
ENSG00000101464,128869,PIGU,20,34560542,34698790,-1,protein_coding,"phosphatidylinositol glycan anchor biosynthesis, class U [Source:HGNC Symbol;Acc:HGNC:15791]"
ENSG00000101470,7125,TNNC2,20,45823214,45833745,-1,protein_coding,troponin C type 2 (fast) [Source:HGNC Symbol;Acc:HGNC:11944]
ENSG00000101473,10005,ACOT8,20,45841721,45857406,-1,protein_coding,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]
ENSG00000101474,57136,APMAP,20,24962925,24992979,-1,protein_coding,adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]
ENSG00000101489,56853,CELF4,18,37243047,37566037,-1,protein_coding,"CUGBP, Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]"
ENSG00000101493,9658,ZNF516,18,76358190,76495190,-1,protein_coding,zinc finger protein 516 [Source:HGNC Symbol;Acc:HGNC:28990]
ENSG00000101542,28316,CDH20,18,61333582,61555773,1,protein_coding,"cadherin 20, type 2 [Source:HGNC Symbol;Acc:HGNC:1760]"
ENSG00000101544,22850,ADNP2,18,80109031,80147523,1,protein_coding,ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]
ENSG00000101546,79863,RBFA,18,80034358,80046397,1,protein_coding,ribosome binding factor A (putative) [Source:HGNC Symbol;Acc:HGNC:26120]
ENSG00000101557,9097,USP14,18,158383,214629,1,protein_coding,ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) [Source:HGNC Symbol;Acc:HGNC:12612]
ENSG00000101558,9218,VAPA,18,9914002,9960021,1,protein_coding,"VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa [Source:HGNC Symbol;Acc:HGNC:12648]"
ENSG00000101574,64863,METTL4,18,2537525,2571509,-1,protein_coding,methyltransferase like 4 [Source:HGNC Symbol;Acc:HGNC:24726]
ENSG00000101577,9663,LPIN2,18,2916994,3013315,-1,protein_coding,lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]
ENSG00000101596,23347,SMCHD1,18,2655738,2805017,1,protein_coding,structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]
ENSG00000101605,8736,MYOM1,18,3066807,3220108,-1,protein_coding,myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]
ENSG00000101608,10627,MYL12A,18,3247481,3256236,1,protein_coding,"myosin, light chain 12A, regulatory, non-sarcomeric [Source:HGNC Symbol;Acc:HGNC:16701]"
ENSG00000101624,79959,CEP76,18,12661833,12702777,-1,protein_coding,centrosomal protein 76kDa [Source:HGNC Symbol;Acc:HGNC:25727]
ENSG00000101638,29906,ST8SIA5,18,46667821,46759257,-1,protein_coding,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:17827]"
ENSG00000101639,55125,CEP192,18,12991362,13125052,1,protein_coding,centrosomal protein 192kDa [Source:HGNC Symbol;Acc:HGNC:25515]
ENSG00000101654,8731,RNMT,18,13726660,13764558,1,protein_coding,RNA (guanine-7-) methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]
ENSG00000101665,4092,SMAD7,18,48919853,48950711,-1,protein_coding,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]
ENSG00000101670,9388,LIPG,18,49560699,49599182,1,protein_coding,"lipase, endothelial [Source:HGNC Symbol;Acc:HGNC:6623]"
ENSG00000101680,284217,LAMA1,18,6941744,7117814,-1,protein_coding,"laminin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]"
ENSG00000101695,54941,RNF125,18,32018372,32073213,1,protein_coding,"ring finger protein 125, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:21150]"
ENSG00000101745,23253,ANKRD12,18,9136228,9285985,1,protein_coding,ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]
ENSG00000101746,8715,NOL4,18,33851100,34224952,-1,protein_coding,nucleolar protein 4 [Source:HGNC Symbol;Acc:HGNC:7870]
ENSG00000101751,11201,POLI,18,54269404,54321266,1,protein_coding,polymerase (DNA directed) iota [Source:HGNC Symbol;Acc:HGNC:9182]
ENSG00000101752,57534,MIB1,18,21704957,21870957,1,protein_coding,mindbomb E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]
ENSG00000101773,5932,RBBP8,18,22798261,23026488,1,protein_coding,retinoblastoma binding protein 8 [Source:HGNC Symbol;Acc:HGNC:9891]
ENSG00000101782,8780,RIOK3,18,23452823,23486603,1,protein_coding,RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]
ENSG00000101811,1478,CSTF2,X,100820359,100840932,1,protein_coding,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa [Source:HGNC Symbol;Acc:HGNC:2484]"
ENSG00000101812,286436,H2BFM,X,104039949,104042454,1,protein_coding,"H2B histone family, member M [Source:HGNC Symbol;Acc:HGNC:27867]"
ENSG00000101825,25878,MXRA5,X,3308565,3346641,-1,protein_coding,matrix-remodelling associated 5 [Source:HGNC Symbol;Acc:HGNC:7539]
ENSG00000101842,340547,VSIG1,X,108044970,108079184,1,protein_coding,V-set and immunoglobulin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28675]
ENSG00000101843,5716,PSMD10,X,108084207,108091618,-1,protein_coding,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 [Source:HGNC Symbol;Acc:HGNC:9555]"
ENSG00000101844,115201,ATG4A,X,108091668,108154671,1,protein_coding,"autophagy related 4A, cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]"
ENSG00000101846,412,STS,X,7219456,7354810,1,protein_coding,"steroid sulfatase (microsomal), isozyme S [Source:HGNC Symbol;Acc:HGNC:11425]"
ENSG00000101849,6907,TBL1X,X,9463295,9719743,1,protein_coding,transducin (beta)-like 1X-linked [Source:HGNC Symbol;Acc:HGNC:11585]
ENSG00000101850,4935,GPR143,X,9725346,9786297,-1,protein_coding,G protein-coupled receptor 143 [Source:HGNC Symbol;Acc:HGNC:20145]
ENSG00000101856,10857,PGRMC1,X,119236245,119244466,1,protein_coding,progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]
ENSG00000101868,5422,POLA1,X,24693919,24996986,1,protein_coding,"polymerase (DNA directed), alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]"
ENSG00000101871,4281,MID1,X,10445310,10833654,-1,protein_coding,midline 1 [Source:HGNC Symbol;Acc:HGNC:7095]
ENSG00000101882,79576,NKAP,X,119920672,119943772,-1,protein_coding,NFKB activating protein [Source:HGNC Symbol;Acc:HGNC:29873]
ENSG00000101883,158800,RHOXF1,X,120109053,120115937,-1,protein_coding,"Rhox homeobox family, member 1 [Source:HGNC Symbol;Acc:HGNC:29993]"
ENSG00000101888,55916,NXT2,X,109535781,109544690,1,protein_coding,nuclear transport factor 2-like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151]
ENSG00000101890,2986,GUCY2F,X,109372906,109482072,-1,protein_coding,"guanylate cyclase 2F, retinal [Source:HGNC Symbol;Acc:HGNC:4691]"
ENSG00000101892,23439,ATP1B4,X,120362085,120383249,1,protein_coding,"ATPase, Na+/K+ transporting, beta 4 polypeptide [Source:HGNC Symbol;Acc:HGNC:808]"
ENSG00000101898,NA,MCTS2P,20,31547504,31548049,1,processed_pseudogene,"malignant T cell amplified sequence 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49760]"
ENSG00000101901,79868,ALG13,X,111665811,111760649,1,protein_coding,"ALG13, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881]"
ENSG00000101911,5634,PRPS2,X,12791355,12824222,1,protein_coding,phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465]
ENSG00000101916,51311,TLR8,X,12906620,12923169,1,protein_coding,toll-like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]
ENSG00000101928,56180,MOSPD1,X,134887626,134915267,-1,protein_coding,motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]
ENSG00000101935,9949,AMMECR1,X,110194186,110440233,-1,protein_coding,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 [Source:HGNC Symbol;Acc:HGNC:467]"
ENSG00000101938,91851,CHRDL1,X,110673856,110795819,-1,protein_coding,chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]
ENSG00000101940,64743,WDR13,X,48590042,48608867,1,protein_coding,WD repeat domain 13 [Source:HGNC Symbol;Acc:HGNC:14352]
ENSG00000101945,6839,SUV39H1,X,48695554,48709012,1,protein_coding,suppressor of variegation 3-9 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11479]
ENSG00000101951,9506,PAGE4,X,49829260,49833973,1,protein_coding,"P antigen family, member 4 (prostate associated) [Source:HGNC Symbol;Acc:HGNC:4108]"
ENSG00000101955,8406,SRPX,X,38149336,38220924,-1,protein_coding,"sushi-repeat containing protein, X-linked [Source:HGNC Symbol;Acc:HGNC:11309]"
ENSG00000101958,2742,GLRA2,X,14529298,14731812,1,protein_coding,"glycine receptor, alpha 2 [Source:HGNC Symbol;Acc:HGNC:4327]"
ENSG00000101966,331,XIAP,X,123859724,123913979,1,protein_coding,"X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:592]"
ENSG00000101972,10735,STAG2,X,123960212,124422664,1,protein_coding,stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]
ENSG00000101974,286410,ATP11C,X,139726346,139945276,-1,protein_coding,"ATPase, class VI, type 11C [Source:HGNC Symbol;Acc:HGNC:13554]"
ENSG00000101977,4168,MCF2,X,139581770,139708227,-1,protein_coding,MCF.2 cell line derived transforming sequence [Source:HGNC Symbol;Acc:HGNC:6940]
ENSG00000101981,2158,F9,X,139530758,139563458,1,protein_coding,coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]
ENSG00000101986,215,ABCD1,X,153724868,153744762,1,protein_coding,"ATP-binding cassette, sub-family D (ALD), member 1 [Source:HGNC Symbol;Acc:HGNC:61]"
ENSG00000101997,28952,CCDC22,X,49235467,49250526,1,protein_coding,coiled-coil domain containing 22 [Source:HGNC Symbol;Acc:HGNC:28909]
ENSG00000102001,778,CACNA1F,X,49205063,49233371,-1,protein_coding,"calcium channel, voltage-dependent, L type, alpha 1F subunit [Source:HGNC Symbol;Acc:HGNC:1393]"
ENSG00000102003,6855,SYP,X,49187804,49200259,-1,protein_coding,synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]
ENSG00000102007,5355,PLP2,X,49171926,49175239,1,protein_coding,proteolipid protein 2 (colonic epithelium-enriched) [Source:HGNC Symbol;Acc:HGNC:9087]
ENSG00000102010,660,BMX,X,15464246,15556529,1,protein_coding,BMX non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1079]
ENSG00000102021,51213,LUZP4,X,115289727,115307556,1,protein_coding,leucine zipper protein 4 [Source:HGNC Symbol;Acc:HGNC:24971]
ENSG00000102024,5358,PLS3,X,115561174,115650861,1,protein_coding,plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]
ENSG00000102030,8260,NAA10,X,153929242,153935223,-1,protein_coding,"N(alpha)-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]"
ENSG00000102032,5973,RENBP,X,153935263,153944691,-1,protein_coding,renin binding protein [Source:HGNC Symbol;Acc:HGNC:9959]
ENSG00000102034,2000,ELF4,X,130064874,130110716,-1,protein_coding,E74-like factor 4 (ets domain transcription factor) [Source:HGNC Symbol;Acc:HGNC:3319]
ENSG00000102038,6594,SMARCA1,X,129446501,129523500,-1,protein_coding,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]"
ENSG00000102043,55613,MTMR8,X,64268081,64395431,-1,protein_coding,myotubularin related protein 8 [Source:HGNC Symbol;Acc:HGNC:16825]
ENSG00000102048,140462,ASB9,X,15235288,15270467,-1,protein_coding,ankyrin repeat and SOCS box containing 9 [Source:HGNC Symbol;Acc:HGNC:17184]
ENSG00000102053,340554,ZC3H12B,X,65366638,65507887,1,protein_coding,zinc finger CCCH-type containing 12B [Source:HGNC Symbol;Acc:HGNC:17407]
ENSG00000102054,5931,RBBP7,X,16839283,16870414,-1,protein_coding,retinoblastoma binding protein 7 [Source:HGNC Symbol;Acc:HGNC:9890]
ENSG00000102055,NA,PPP1R2P9,X,42777471,42778079,-1,processed_pseudogene,"protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:16324]"
ENSG00000102057,3750,KCND1,X,48961378,48971569,-1,protein_coding,"potassium channel, voltage gated Shal related subfamily D, member 1 [Source:HGNC Symbol;Acc:HGNC:6237]"
ENSG00000102076,5956,OPN1LW,X,154144224,154159032,1,protein_coding,"opsin 1 (cone pigments), long-wave-sensitive [Source:HGNC Symbol;Acc:HGNC:9936]"
ENSG00000102078,9016,SLC25A14,X,130339888,130373361,1,protein_coding,"solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:HGNC Symbol;Acc:HGNC:10984]"
ENSG00000102081,2332,FMR1,X,147911951,147951125,1,protein_coding,fragile X mental retardation 1 [Source:HGNC Symbol;Acc:HGNC:3775]
ENSG00000102096,11040,PIM2,X,48913182,48919024,-1,protein_coding,"Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]"
ENSG00000102098,10389,SCML2,X,18239314,18354727,-1,protein_coding,sex comb on midleg-like 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:10581]
ENSG00000102100,7355,SLC35A2,X,48903182,48911958,-1,protein_coding,"solute carrier family 35 (UDP-galactose transporter), member A2 [Source:HGNC Symbol;Acc:HGNC:11022]"
ENSG00000102103,10084,PQBP1,X,48897912,48903143,1,protein_coding,polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]
ENSG00000102104,6247,RS1,X,18639910,18672109,-1,protein_coding,retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457]
ENSG00000102109,27344,PCSK1N,X,48831094,48835633,-1,protein_coding,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]
ENSG00000102119,2010,EMD,X,154379197,154381523,1,protein_coding,emerin [Source:HGNC Symbol;Acc:HGNC:3331]
ENSG00000102125,6901,TAZ,X,154411518,154421726,1,protein_coding,tafazzin [Source:HGNC Symbol;Acc:HGNC:11577]
ENSG00000102128,282808,RAB40AL,X,102937250,102938962,1,protein_coding,"RAB40A, member RAS oncogene family-like [Source:HGNC Symbol;Acc:HGNC:25410]"
ENSG00000102144,5230,PGK1,X,78065188,78129296,1,protein_coding,phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]
ENSG00000102145,2623,GATA1,X,48786554,48794311,1,protein_coding,GATA binding protein 1 (globin transcription factor 1) [Source:HGNC Symbol;Acc:HGNC:4170]
ENSG00000102158,84061,MAGT1,X,77826364,77895593,-1,protein_coding,magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28880]
ENSG00000102172,6611,SMS,X,21940573,21994835,1,protein_coding,spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]
ENSG00000102174,5251,PHEX,X,22032441,22251310,1,protein_coding,"phosphate regulating endopeptidase homolog, X-linked [Source:HGNC Symbol;Acc:HGNC:8918]"
ENSG00000102178,8266,UBL4A,X,154483717,154486670,-1,protein_coding,ubiquitin-like 4A [Source:HGNC Symbol;Acc:HGNC:12505]
ENSG00000102181,83692,CD99L2,X,150766337,150898816,-1,protein_coding,CD99 molecule-like 2 [Source:HGNC Symbol;Acc:HGNC:18237]
ENSG00000102189,8411,EEA1,12,92770637,92929331,-1,protein_coding,early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]
ENSG00000102195,9248,GPR50,X,151176653,151181465,1,protein_coding,G protein-coupled receptor 50 [Source:HGNC Symbol;Acc:HGNC:4506]
ENSG00000102218,6102,RP2,X,46836940,46882358,1,protein_coding,retinitis pigmentosa 2 (X-linked recessive) [Source:HGNC Symbol;Acc:HGNC:10274]
ENSG00000102221,9767,JADE3,X,46912276,47061242,1,protein_coding,jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982]
ENSG00000102225,5127,CDK16,X,47217860,47229997,1,protein_coding,cyclin-dependent kinase 16 [Source:HGNC Symbol;Acc:HGNC:8749]
ENSG00000102226,8237,USP11,X,47232690,47248328,1,protein_coding,ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]
ENSG00000102230,9468,PCYT1B,X,24558087,24672677,-1,protein_coding,"phosphate cytidylyltransferase 1, choline, beta [Source:HGNC Symbol;Acc:HGNC:8755]"
ENSG00000102239,680,BRS3,X,136487887,136493780,1,protein_coding,bombesin-like receptor 3 [Source:HGNC Symbol;Acc:HGNC:1113]
ENSG00000102241,27336,HTATSF1,X,136497079,136512346,1,protein_coding,HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]
ENSG00000102243,51442,VGLL1,X,136532152,136556807,1,protein_coding,vestigial-like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]
ENSG00000102245,959,CD40LG,X,136648193,136660390,1,protein_coding,CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]
ENSG00000102265,7076,TIMP1,X,47582313,47586789,1,protein_coding,TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]
ENSG00000102271,56062,KLHL4,X,87517749,87670050,1,protein_coding,kelch-like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]
ENSG00000102287,2564,GABRE,X,151953124,151974680,-1,protein_coding,"gamma-aminobutyric acid (GABA) A receptor, epsilon [Source:HGNC Symbol;Acc:HGNC:4085]"
ENSG00000102290,27328,PCDH11X,X,91779261,92623230,1,protein_coding,protocadherin 11 X-linked [Source:HGNC Symbol;Acc:HGNC:8656]
ENSG00000102302,2245,FGD1,X,54445454,54496166,-1,protein_coding,"FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]"
ENSG00000102309,5303,PIN4,X,72181353,72302926,1,protein_coding,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]"
ENSG00000102312,64840,PORCN,X,48508962,48520814,1,protein_coding,porcupine homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:17652]
ENSG00000102313,347365,ITIH6,X,54748899,54798240,-1,protein_coding,"inter-alpha-trypsin inhibitor heavy chain family, member 6 [Source:HGNC Symbol;Acc:HGNC:28907]"
ENSG00000102316,10916,MAGED2,X,54807599,54816012,1,protein_coding,melanoma antigen family D2 [Source:HGNC Symbol;Acc:HGNC:16353]
ENSG00000102317,5935,RBM3,X,48574449,48579066,1,protein_coding,"RNA binding motif (RNP1, RRM) protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]"
ENSG00000102349,11279,KLF8,X,56232421,56287889,1,protein_coding,Kruppel-like factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]
ENSG00000102359,27286,SRPX2,X,100644218,100671299,1,protein_coding,"sushi-repeat containing protein, X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668]"
ENSG00000102362,94121,SYTL4,X,100674491,100732123,-1,protein_coding,synaptotagmin-like 4 [Source:HGNC Symbol;Acc:HGNC:15588]
ENSG00000102383,158866,ZDHHC15,X,75368427,75523502,-1,protein_coding,"zinc finger, DHHC-type containing 15 [Source:HGNC Symbol;Acc:HGNC:20342]"
ENSG00000102384,2491,CENPI,X,101098218,101163681,1,protein_coding,centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]
ENSG00000102385,1821,DRP2,X,101219769,101264497,1,protein_coding,dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032]
ENSG00000102387,54457,TAF7L,X,101268253,101293057,-1,protein_coding,"TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa [Source:HGNC Symbol;Acc:HGNC:11548]"
